Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
Stanford University,Bachelor's,Graduate,Private,Far West,Large Suburb,0.0569,33,1466,58408,88200,19862,11500,21.6100006,53935.5,76500
Yale University,Bachelor's,Graduate,Private,New England,Mid-size City,0.0705,34,1497,59320,106214,16042,12000,22.2999992,45652.5,70600
Princeton University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.0741,33,1495,55430,48021,15711,7500,20.0400009,50686,66500
Cooper Union for the Advancement of Science and Art,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.0774,31,1358,56735,24981,11865,17500,20.3400002,46772,50400
Massachusetts Institute of Technology,Bachelor's,Graduate,Private,New England,Mid-size City,0.0815,34,1503,57010,58223,15617,13000,21.0100002,79076,86900
University of Chicago,Bachelor's,Graduate,Private,Great Lakes,Large City,0.0881,34,1504,62425,74864,16589,17610,21.8099995,53224,58700
Brown University,Bachelor's,Graduate,Private,New England,Mid-size City,0.0918,32,1425,58140,30823,13381,15164,19.7800007,84559,54400
Dartmouth College,Bachelor's,Graduate,Private,New England,Remote Town,0.0978,32,1446,61398,25268,13143,10695.5,20.2000008,78815,60300
California Institute of Technology,Bachelor's,Graduate,Private,Far West,Mid-size City,0.1055,34,1534,56382,92854,16120,14583,19.7900009,53201,60100
Claremont McKenna College,Bachelor's,Graduate,Private,Far West,Large Suburb,0.1173,31,1397,60065,26268,9388,12086,19.5400009,88986.5,55600
University of Pennsylvania,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.1224,32,1442,59600,52081,15460,19500,22.2199993,62169,73200
Vanderbilt University,Bachelor's,Graduate,Private,Southeast,Large City,0.1274,33,1475,59890,76995,12871,13000,19.9300003,74999.5,54400
Adventist University of Health Sciences,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.1336,19,884,21358,8382,6539,15236,28.7099991,49657.5,51800
Duke University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.1342,32,1444,59528,51653,14288,6569,21.3099995,73265,69400
Northwestern University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.1532,33,1458,60729,34438,14525,18234,21.5,71885.5,58100
Washington University in St Louis,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.1555,33,1474,62594,97613,13286,19500,21.3899994,77947.5,58300
Cornell University,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.1556,32,1422,59572,23140,13820,11500,19.7999992,81957,65000
Rice University,Bachelor's,Graduate,Private,Southwest,Large City,0.1674,33,1454,52242,39651,13468,7727,20.4599991,71258,56500
Georgetown University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.1697,31,1398,59900,29282,12851,17125,21.8700008,60247,76200
Williams College,Bachelor's,Graduate,Private,New England,Fringe Town,0.1702,32,1439,59412,39164,12027,11248,19.3299999,88403.5,46400
Middlebury College,Bachelor's,Graduate,Private,New England,Distant Town,0.1716,32,1391,59200,23214,10599,17777.5,21.6000004,60997.5,49100
Johns Hopkins University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.1813,32,1418,58980,75570,10922,17500,22.9200001,57761.5,64400
Washington and Lee University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.1843,32,1392,56616,28860,12144,18543,20.3099995,112856,61800
Tufts University,Bachelor's,Graduate,Private,New England,Large Suburb,0.1884,32,1428,58752,21026,11427,17300,21.4200001,64738,57400
University of Southern California,Bachelor's,Graduate,Private,Far West,Large City,0.1984,31,1380,59787,42077,13045,21500,21.6599999,42938,62300
Wesleyan University,Bachelor's,Graduate,Private,New England,Small City,0.2092,31,1387,61167,24442,11163,17625,19.3799992,88497,42000
Liberty University,Bachelor's,Graduate,Private,Southeast,Small City,0.2165,23,1030,31344,2167,4102,12612,25.4500008,51134,31400
Missouri Valley College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.2218,20,920,28754,3545,4635,10500,20.7000008,49223.5,31000
Colorado College,Bachelor's,Graduate,Private,Rocky Mountains,Large City,0.2228,30,1323,54200,20972,10886,17255,20.1299992,73379,34400
University of Notre Dame,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.223,33,1450,57805,26795,12629,20300,20.0900002,106005,63200
Art Academy of Cincinnati,Bachelor's,Graduate,Private,Great Lakes,Large City,0.2548,22,1009,32485,27594,4533,20375,21.0100002,73527,24000
Carnegie Mellon University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.2549,32,1432,59710,24821,11055,23000,19.8299999,90107.5,72200
Northwood University-Texas,Bachelor's,Graduate,Private,Southwest,Fringe Rural,0.2578,20,924,31642,5038,6060,18750,25.4599991,49456,40800
New York University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.2605,30,1352,60059,28606,13434,21500,20.7299995,74827,52500
Emory University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.2633,31,1363,58180,33796,12133,19000,21.2000008,64962,56900
Colgate University,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.2638,31,1370,57745,21634,10985,15062.5,19.2900009,91654,53400
Tulane University of Louisiana,Bachelor's,Graduate,Private,Southeast,Large City,0.2643,31,1341,58904,21299,10880,20001,22.8199997,45863.5,51200
Rhode Island School of Design,Bachelor's,Graduate,Private,New England,Mid-size City,0.2731,28,1239,59597,20460,7949,25000,21.5300007,75194,39200
University of North Carolina at Chapel Hill,Bachelor's,Graduate,Public,Southeast,Small City,0.2759,30,1313,23069,25891,11392,15000,20.6299992,64969.5,48000
Babson College,Bachelor's,Graduate,Private,New England,Large Suburb,0.2821,28,1258,58450,13960,14952,27000,20.2800007,80987,74700
Bucknell University,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.2951,30,1306,59090,19054,10168,25000,19.4200001,102976,54800
University of Virginia-Main Campus,Bachelor's,Graduate,Public,Southeast,Small City,0.2999,31,1362,25255,16577,12428,17746,20.3799992,84687,53600
Oberlin College,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.3041,30,1354,59683,27620,9872,23250,19.3600006,97279,33200
Lehigh University,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.3084,30,1322,55441,19955,12344,22500,19.3299999,102543,68600
University of Richmond,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.3116,30,1313,55980,18204,10983,18370,22.2800007,90735.5,51500
San Diego State University,Bachelor's,Graduate,Public,Far West,Large City,0.3121,24,1090,20252,6797,9229,14495,21.9899998,37534,44000
California Polytechnic State University-San Luis Obispo,Bachelor's,Graduate,Public,Far West,Small Suburb,0.3123,28,1242,23867,9907,8675,17500,20.3999996,72114,55400
Trinity College,Bachelor's,Graduate,Private,New England,Mid-size City,0.3178,27,1240,59865,23403,10884,19275,20.3199997,87726,50300
Boston College,Bachelor's,Graduate,Private,New England,Small City,0.3222,32,1375,58639,18302,13355,19000,20.6000004,81102,61800
Corban University,Bachelor's,Graduate,Private,Far West,Mid-size City,0.3225,23,1067,38834,6654,5463,19500,22.9799995,65500.5,32500
Northeastern University,Bachelor's,Graduate,Private,New England,Large City,0.3231,32,1394,55914,13078,11581,25759.5,20.9300003,83394,56400
University of Missouri-Kansas City,Bachelor's,Graduate,Public,Great Plains,Large City,0.33,24,1105,23437,15048,8305,15750,23.3099995,40642,41300
George Washington University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.3308,29,1297,58925,19705,13058,22723,20.2999992,85746,60100
SUNY at Purchase College,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.3319,24,1082,22381,10361,7092,19750,20.6100006,63153,30900
College of William and Mary,Bachelor's,Graduate,Public,Southeast,Small Suburb,0.3321,30,1358,25938,13265,10253,19500,19.9599991,98940,48800
University of Michigan-Ann Arbor,Bachelor's,Graduate,Public,Great Lakes,Mid-size City,0.3326,30,1352,25760,22051,10509,21000,20.8799992,69630,53400
Nebraska Methodist College of Nursing & Allied Health,Bachelor's,Graduate,Private,Great Plains,Large City,0.3333,23,1070,23987,9227,5994,22683.5,24.7700005,48876,46700
Oakwood University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.3435,20,924,34705,7656,5307,22000,21.2299995,42094.5,27300
Skidmore College,Bachelor's,Graduate,Private,Mid-Atlantic,Small Suburb,0.3505,28,1247,58562,19402,9067,19500,20.25,79221,41900
University of Rochester,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.3568,31,1353,59156,29937,12762,24325.5,20.2399998,85192,50200
Scripps College,Bachelor's,Graduate,Private,Far West,Large Suburb,0.357,31,1364,58888,28314,10598,12500,19.7000008,79296,38800
Hampton University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.3605,21,990,32358,8966,7455,22870,21,55050,38000
Ohio Valley University,Bachelor's,Graduate,Private,Southeast,Small City,0.3639,21,971,27759,6762,4740,12000,24.2399998,56558,32300
Brandeis University,Bachelor's,Graduate,Private,New England,Small City,0.3704,30,1347,58850,14309,11328,26000,19.4899998,97995,47400
Colorado School of Mines,Bachelor's,Graduate,Public,Rocky Mountains,Large Suburb,0.3743,29,1298,29091,13498,10579,22625,20.0200005,74554,73000
Alaska Pacific University,Bachelor's,Graduate,Private,Far West,Large City,0.3745,22,1008,42925,10753,5137,19250,26.5200005,48081.5,38000
University of California-San Diego,Bachelor's,Graduate,Public,Far West,Large City,0.375,28,1276,29751,22757,13126,18463,20.2000008,41248,50100
Andrews University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.3751,23,1070,33653,11640,4961,23000,21.6700001,53737,33400
Hardin-Simmons University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.3759,23,1035,32001,9644,6653,16137,20.9400005,60884,36700
Bryan College-Dayton,Bachelor's,Graduate,Private,Southeast,Distant Town,0.3762,23,1053,29489,4331,4166,9722,25.8700008,55458.5,35400
